round,strategy,n_measured,n_new,best_fitness,best_variant,batch_max_fitness,batch_mean_fitness,batch_median_fitness,n_above_wt,n_hits_in_batch,hit_rate,cum_hits,n_above_wt_in_batch,frac_above_wt_in_batch,n_dead_in_batch,batch_pred_mae,n_unique_p40,touch_pos39,touch_pos40,touch_pos41,touch_pos54,model_spearman,model_recall@100,improvement_over_start,backend,n_rejected,seed
1,Rule-Agent+KB,2180,12,8.04515200416,FYAA,8.04515200416,4.387775056413333,4.051765325345,230,3,0.25,3,12,1.0,0,1.3336218743583501,4,10,9,7,12,0.4821144055700522,0.43,2.6544194984600002,offline,0.0,66
2,Rule-Agent+KB,2192,12,8.76196565571,FWAA,8.76196565571,4.765398524671666,4.380728045015,242,3,0.25,6,12,1.0,0,1.1713394355029674,6,12,11,10,12,0.4707177328944627,0.43,3.37123315001,offline,0.0,66
3,Rule-Agent+KB,2204,12,8.76196565571,FWAA,7.22866005298,4.587482184820833,5.05459563191,254,4,0.3333333333333333,10,12,1.0,0,1.436382275439561,5,11,11,8,12,0.4777623908003266,0.45,3.37123315001,offline,0.0,66
0,Rule-Agent+KB,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.47403976486379407,0.48,0.0,,,77
1,Rule-Agent+KB,2180,12,8.76196565571,FWAA,8.76196565571,4.534005387384166,4.2990542586050005,230,3,0.25,3,12,1.0,0,1.2656707783769727,5,10,10,7,12,0.4743221574196069,0.47,3.37123315001,offline,0.0,77
2,Rule-Agent+KB,2192,12,8.76196565571,FWAA,8.04515200416,4.840024163520833,4.832697533925,242,5,0.4166666666666667,8,12,1.0,0,1.1859653604014306,5,12,9,10,12,0.4723409726482162,0.45,3.37123315001,offline,0.0,77
3,Rule-Agent+KB,2204,12,8.76196565571,FWAA,6.50002805229,3.8805609571204163,4.171926766675,253,3,0.25,11,11,0.9166666666666666,0,0.8659402815443208,5,11,12,10,12,0.4681623100229596,0.41,3.37123315001,offline,0.0,77
0,Rule-Agent+KB,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.46623584329714446,0.41,0.0,,,88
1,Rule-Agent+KB,2180,12,5.77203220934,IWGF,5.77203220934,4.08622224765,4.1215479600950005,230,2,0.16666666666666666,2,12,1.0,0,0.8607362226574228,4,10,7,7,12,0.47453047975497775,0.4,0.3812997036399999,offline,0.0,88
2,Rule-Agent+KB,2192,12,8.76196565571,FWAA,8.76196565571,4.250910727005,3.8499454754749998,242,2,0.16666666666666666,4,12,1.0,0,1.3748337833143278,5,12,11,4,12,0.473973368823149,0.44,3.37123315001,offline,0.0,88
3,Rule-Agent+KB,2204,12,8.76196565571,FWAA,6.92825718021,4.371274468310832,4.19813150564,254,3,0.25,7,12,1.0,0,0.8111620890693669,7,12,11,10,12,0.4706415611861891,0.46,3.37123315001,offline,0.0,88
